// Generated by X3 Editor 2 (2.0.17.1)
// Plugin TDebugger 1.0.8.0
55;
45;
effects\weapons\bullet_LS_alpha;0;0;0;0;-1;9001;220;4;907;1200;581000;0;48;16;192;0.07;0.07;4;0;15;22;21;0;0;0;150;0;0;0;0;0;0;0;0;0;0;29;3;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IRE;
effects\weapons\bullet_PR_alpha;0;0;0;0;-1;9001;1155;23;908;2740;351500;1;96;16;192;0.07;0.07;3;0;16;33;143;0;0;0;150;0;0;0;0;0;0;0;0;0;0;151;19;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PAC;
10436;575;0;0;0.5;-1;9001;0;1;1205;1350;369500;96;48;48;48;5;5;20;0;19;33;45;0;1156;0;0;0;0;0;0;0;0;0;0;0;0;0;9;42;10000;25;1;0;10000;-100000;0;0;SS_BULLET_MASS;
effects\weapons\bullet_Repeat;0;0;0;0;-1;9001;680;13;908;1490;780000;1;192;192;16;0.07;0.07;4;0;182;183;72;0;0;0;150;0;0;0;0;0;0;0;0;0;0;89;10;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PRG;
effects\weapons\bullet_EnergyBolt;0;0;0;-1.1;-1;9001;1357;4;908;4660;302000;64;192;192;16;0.07;0.07;4;0;192;191;217;0;0;0;150;0;0;0;0;0;0;0;0;0;0;177;29;93;10000;25;1;0;10000;-100000;0;0;SS_BULLET_EBC;
effects\weapons\bullet_FragBomb;0;0;0;0;-1;9001;2793;61;908;5500;179500;4096;192;192;16;0.07;0.07;4;0;184;185;471;0;0;0;150;0;0;0;0;0;0;36;5;0;0;364;62;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_FBL;
effects\weapons\bullet_PL_alpha;0;0;0;0;-1;9001;1995;40;909;5360;215500;0;48;192;16;0.07;0.07;4;0;17;24;332;0;112;0;180;0;0;0;0;0;0;0;0;0;0;260;44;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_HEPT;
300;0;0;0;0;-1;9001;1575;78;0;463;1013626;532;50;50;255;1;1;8;0;57;34;5;0;113;0;255;0;15;1000;0;0;0;0;0;0;0;205;1;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IOND;
10458;0;0;0;0;-1;9001;945;14;912;140;3490000;0;91;118;129;0.07;0.07;20;0;50;49;35;0;0;0;255;0;0;0;0;0;0;0;0;0;0;123;5;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PBE;
effects\weapons\bullet_flamethrower;0;0;0;0;-1;9001;468;55;907;2100;187500;2056;200;128;255;1;1;0.5;172;58;22;120;0;0;0;150;0;0;0;0;560;1200;0;0;0;0;1943;498;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PD;
517;0;0;0;0;-1;9001;2000;31;909;3405;294000;2048;192;192;0;0.08;0.08;5;0;23;25;800;0;112;0;180;0;0;0;0;1000;2000;0;0;0;0;260;104;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_EMP;
effects\weapons\bullet_push;0;0;0;0.5;0;0;7845;246;916;8250;210000;0;255;255;255;1;1;1;0;70;202;2615;0;112;0;180;0;0;0;0;0;0;0;0;0;0;1020;340;128;0;0;0;0;0;-100000;0;0;SS_BULLET_CIG;
effects\weapons\bullet_IonPulse;0;0;0;0.9;-1;9001;12563;456;909;11200;173500;4608;128;192;16;0.07;0.07;4;0;178;179;523;0;112;0;180;0;20;1200;0;0;0;44;1;0;0;1634;68;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IPG;
effects\weapons\bullet_ElectroSpike;0;0;0;0.6;-1;9001;2671;124;909;6700;249000;1024;128;192;16;0.07;0.07;4;0;151;152;962;0;112;0;180;0;0;0;45;0;0;0;0;0;0;348;126;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_ESR;
effects\weapons\bullet_MAM;0;0.3;-0.4;0.5;0;0;8350;45;916;8150;222500;320;255;255;255;1;1;1;0;196;195;3095;0;112;0;180;0;0;0;0;0;0;0;0;0;0;1086;403;91;0;0;0;0;0;-100000;0;0;SS_BULLET_MAM;
10458;0;0;0;0;-1;9001;13860;680;916;300;3525500;8448;255;255;255;15;15;3;170;155;157;2093;0;0;0;210;150;0;0;0;0;0;0;0;0;0;1802;273;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_FLAK_ALPHA;
10458;0;0;0;0;-1;9001;11781;675;916;900;1100000;12288;255;255;255;17;17;3;170;156;157;1758;0;0;0;210;200;0;0;0;0;0;37;4;0;0;1532;229;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_FLAK_CLUSTER;
10385;0;0;0;0;-1;9001;3969;117;0;2490;1280500;2;192;192;192;1;1;5;0;23;24;2970;0;112;0;255;0;0;0;0;0;0;0;0;0;0;516;387;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PAL;
225;0;0;0;0;-1;9001;1996;449;909;5682;127000;8;200;128;255;1;1;1;0;58;22;106;0;0;0;150;0;0;0;0;0;0;0;0;0;0;19960;1060;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PSG;
300;0;0;0;0;-1;9001;20785;1200;916;1000;1000000;0;255;255;255;15;15;3;0;199;200;3374;0;0;0;180;0;0;0;0;0;0;40;4;0;0;2703;439;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_TERANTIFIGHTER;
518;0;0;0;0;-1;9001;63778;576;909;19890;166500;8192;192;192;0;0.1;0.1;5;0;53;52;11340;0;112;0;180;3500;0;0;0;0;0;0;0;4;4;17221;3062;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PPC;
effects\weapons\bullet_IonCannon;0;0;0;0.25;-1;9001;119148;907;909;13250;193500;9728;192;192;0;0.1;0.1;5;0;180;181;6840;0;112;0;180;4000;30;1600;500;0;0;0;0;2;3;32170;1847;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IONC;
effects\weapons\bullet_GaussCannon;0;0;0;-0.5;-1;9001;28540;86;909;13560;176500;64;192;192;0;0.1;0.1;5;0;194;193;12130;0;112;0;180;300;0;0;0;0;0;0;0;0;0;7706;3276;94;10000;25;1;0;10000;-100000;0;0;SS_BULLET_GAUSS;
effects\weapons\bullet_FireBomb;0;0;0;0;-1;9001;50860;526;909;16500;156000;10240;192;192;0;0.1;0.1;5;0;198;197;9000;0;112;0;180;2750;0;0;0;5000;5000;0;0;2;2;13733;2430;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IBL;
effects\weapons\bullet_PointSing;0;0.1;0.1;-0.1;-1;9001;252310;2500;909;20000;160500;8448;192;192;0;0.1;0.1;5;0;189;190;95812;0;112;0;180;5000;0;0;0;0;0;0;0;2;2;68124;25870;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PSP;
effects\X3AP\weapons\TOL_bullet;0;0;0;0;-1;9001;14280;202;0;550;5322000;2;192;192;192;1;1;5;0;15;22;6500;0;112;0;255;450;0;0;0;0;0;0;0;0;0;1857;845;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PBC;
10385;0;0;0;0;-1;9001;7532;253;0;1100;2815000;2;192;192;192;1;1;5;0;23;24;5321;0;112;0;255;0;0;0;0;0;0;0;0;0;0;980;692;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_TRIBEAM;
10385;0;0;0;0;-1;9001;3780;117;0;2493;1330384;2050;192;192;192;1;1;5;0;23;24;5400;0;112;0;255;0;0;0;0;0;0;0;0;0;0;492;702;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_FUSIONBEAM;
10678;0;0;0;0.2;-1;9001;2362;415;906;57500;42000;0;100;100;255;1;1;8;0;69;25;6500;0;112;0;180;0;0;0;0;0;0;0;0;0;0;308;845;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_MINING;
525;0;0;0;0;-1;9001;0;1000;909;500;2000000;2;255;255;255;1;1;1;0;18;0;0;0;0;0;255;0;0;0;0;0;0;0;0;0;0;0;0;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_TUG;
10459;0;0;0;0;-1;9001;11781;65;916;4000;12500000;12288;255;255;255;17;17;3;0;156;157;1758;0;0;0;180;200;0;0;0;0;0;37;12;0;0;1532;229;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_DUMMY1;
